arich[3].feb[3].t2 : float(27.4375)
arich[3].feb[4].t1 : float(27.375)
arich[3].feb[4].t2 : float(27.25)
arich[3].feb[5].t1 : float(28.1875)
arich[3].feb[5].t2 : float(28)
[2018-10-01 11:38:03] 
arich[0].temp : float(30.6875)
arich[0].feb[0].t1 : float(26.8125)
arich[0].feb[0].t2 : float(26.875)
arich[0].feb[1].t1 : float(26.9375)
arich[0].feb[1].t2 : float(27)
arich[0].feb[2].t1 : float(26.875)
arich[0].feb[2].t2 : float(26.875)
arich[0].feb[3].t1 : float(26.8125)
arich[0].feb[3].t2 : float(26.625)
arich[0].feb[4].t1 : float(27)
arich[0].feb[4].t2 : float(27)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(30.25)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(27)
arich[1].feb[1].t2 : float(27)
arich[1].feb[2].t1 : float(26.9375)
arich[1].feb[2].t2 : float(26.9375)
arich[1].feb[3].t1 : float(27.125)
arich[1].feb[3].t2 : float(27.125)
arich[1].feb[4].t1 : float(27)
arich[1].feb[4].t2 : float(26.875)
arich[1].feb[5].t1 : float(27.1875)
arich[1].feb[5].t2 : float(27.125)
arich[2].temp : float(30.4375)
arich[2].feb[0].t1 : float(27.375)
arich[2].feb[0].t2 : float(27.4375)
arich[2].feb[1].t1 : float(27.1875)
arich[2].feb[1].t2 : float(27)
arich[2].feb[2].t1 : float(27.25)
arich[2].feb[2].t2 : float(27.25)
arich[2].feb[3].t1 : float(26.9375)
arich[2].feb[3].t2 : float(27)
arich[2].feb[4].t1 : float(26.9375)
arich[2].feb[4].t2 : float(26.9375)
arich[2].feb[5].t1 : float(27.0625)
arich[2].feb[5].t2 : float(27.1875)
arich[3].temp : float(29.3125)
arich[3].feb[0].t1 : float(28.0625)
arich[3].feb[0].t2 : float(28)
arich[3].feb[1].t1 : float(27.6875)
arich[3].feb[1].t2 : float(27.625)
arich[3].feb[2].t1 : float(27.5625)
arich[3].feb[2].t2 : float(27.4375)
arich[3].feb[3].t1 : float(27.5)
arich[3].feb[3].t2 : float(27.4375)
arich[3].feb[4].t1 : float(27.375)
arich[3].feb[4].t2 : float(27.25)
arich[3].feb[5].t1 : float(28.1875)
arich[3].feb[5].t2 : float(28)
[2018-10-01 11:38:53] 
arich[0].temp : float(30.6875)
arich[0].feb[0].t1 : float(26.9375)
arich[0].feb[0].t2 : float(27)
arich[0].feb[1].t1 : float(27.0625)
arich[0].feb[1].t2 : float(27.125)
arich[0].feb[2].t1 : float(27)
arich[0].feb[2].t2 : float(27)
arich[0].feb[3].t1 : float(26.9375)
arich[0].feb[3].t2 : float(26.75)
arich[0].feb[4].t1 : float(27.125)
arich[0].feb[4].t2 : float(27.125)
arich[0].feb[5].t1 : float(0)
arich[0].feb[5].t2 : float(0)
arich[1].temp : float(30.1875)
arich[1].feb[0].t1 : float(0)
arich[1].feb[0].t2 : float(0)
arich[1].feb[1].t1 : float(27.125)
arich[1].feb[1].t2 : float(27.125)
arich[1].feb[2].t1 : float(27.0625)
arich[1].feb[2].t2 : float(27.0625)
arich[1].feb[3].t1 : float(27.25)
arich[1].feb[3].t2 : float(27.25)
arich[1].feb[4].t1 : float(27.125)
